"Filename","Base Size","Rolled Size"
"fcall_1",2520,2520
"fcall_10",4092,4116
"fcall_100",3908,2680
"fcall_20",4104,3972
"fcall_3",2540,2664
"fcall_30",4108,3808
"fcall_40",4088,3648
"fcall_50",4092,3476
"fcall_60",4132,3316
"fcall_70",4088,3156
"fcall_80",4104,2996
"fcall_90",4116,2836
"multi-1",3816,3696
"multi-2",3536,3296
"sample",2944,2820
"simplecalls",2896,2792
"store_1",2416,2416
"store_10",3896,4136
"store_100",3968,2668
"store_20",3896,4080
"store_3",2496,2496
"store_30",3900,3824
"store_40",3912,3768
"store_50",3916,3504
"store_60",3924,3336
"store_70",3932,3188
"store_80",3948,3136
"store_90",3952,2852
